"Periodo de tiempo - Por semana (Sun - Sat)","Total unresolved tickets","Número total de tickets creados","Número total de tickets resueltos","Total tickets reopened"
"Abr 13 2025","33","48","45","10"
"Abr 20 2025","30","75","82","23"
"Abr 27 2025","31","91","98","32"
"Mayo 04 2025","32","104","116","40"
"Mayo 11 2025","27","64","84","27"
"Mayo 18 2025","31","73","83","41"
"Mayo 25 2025","37","69","53","12"
"Jun 01 2025","42","74","80","21"
"Jun 08 2025","42","58","62","19"
"Jun 15 2025","43","65","60","17"
"Jun 22 2025","51","88","78","26"
"Jun 29 2025","57","63","60","23"
"Jul 06 2025","42","77","94","26"
"Jul 13 2025","46","70","85","29"
"Jul 20 2025","39","44","61","23"
"Jul 27 2025","38","30","37","13"
"Ago 03 2025","40","32","30","10"
"Ago 10 2025","46","32","33","18"
"Ago 17 2025","45","49","61","22"
"Ago 24 2025","73","72","58","24"
"Ago 31 2025","59","51","80","30"
"Sep 07 2025","60","70","83","36"
"Sep 14 2025","45","60","85","31"
"Sep 21 2025","38","51","70","26"
"Sep 28 2025","45","71","74","28"
"Oct 05 2025","42","66","85","30"
"Oct 12 2025","43","77","93","31"
"Oct 19 2025","46","36","47","18"
